node,IX,IY,IZ
77,0,5,7
91,0,6,7
92,0,6,8
90,0,6,6
316,1,5,8
314,1,5,6
301,1,4,7
302,1,4,8
300,1,4,6
104,0,7,6
105,0,7,7
327,1,6,5
341,1,7,5
313,1,5,5
106,0,7,8
331,1,6,9
345,1,7,9
317,1,5,9
119,0,8,7
356,1,8,6
120,0,8,8
359,1,8,9
133,0,9,7
134,0,9,8
132,0,9,6
135,0,9,9
122,0,8,10
136,0,9,10
137,0,9,11
360,1,8,10
375,1,9,11
146,0,10,6
147,0,10,7
369,1,9,5
383,1,10,5
148,0,10,8
149,0,10,9
150,0,10,10
389,1,10,11
161,0,11,7
398,1,11,6
162,0,11,8
163,0,11,9
164,0,11,10
403,1,11,11
175,0,12,7
176,0,12,8
413,1,12,7
414,1,12,8
412,1,12,6
177,0,12,9
415,1,12,9
416,1,12,10
538,2,4,6
537,2,4,5
525,2,3,7
526,2,3,8
541,2,4,9
550,2,5,4
564,2,6,4
556,2,5,10
570,2,6,10
579,2,7,5
584,2,7,10
593,2,8,5
598,2,8,10
607,2,9,5
599,2,8,11
613,2,9,11
621,2,10,5
627,2,10,11
635,2,11,5
641,2,11,11
411,1,12,5
654,2,12,10
410,1,12,4
424,1,13,4
648,2,12,4
647,2,12,3
663,2,13,5
661,2,13,3
664,2,13,6
665,2,13,7
666,2,13,8
653,2,12,9
676,2,14,4
675,2,14,3
436,1,14,2
674,2,14,2
673,2,14,1
687,2,15,1
660,2,13,2
659,2,13,1
482,2,0,6
483,2,0,7
496,2,1,6
497,2,1,7
720,3,0,6
721,3,0,7
733,3,1,5
722,3,0,8
736,3,1,8
748,3,2,6
749,3,2,7
499,2,1,9
738,3,1,10
751,3,2,9
752,3,2,10
723,3,0,9
724,3,0,10
763,3,3,7
764,3,3,8
762,3,3,6
765,3,3,9
775,3,4,5
788,3,5,4
780,3,4,10
794,3,5,10
802,3,6,4
809,3,6,11
816,3,7,4
822,3,7,10
830,3,8,4
836,3,8,10
845,3,9,5
850,3,9,10
859,3,10,5
864,3,10,10
873,3,11,5
878,3,11,10
887,3,12,5
888,3,12,6
886,3,12,4
892,3,12,10
646,2,12,2
885,3,12,3
898,3,13,2
899,3,13,3
897,3,13,1
900,3,13,4
891,3,12,9
904,3,13,8
877,3,11,9
672,2,14,0
911,3,14,1
910,3,14,0
902,3,13,6
903,3,13,7
686,2,15,0
958,4,0,6
959,4,0,7
957,4,0,5
971,4,1,5
960,4,0,8
961,4,0,9
962,4,0,10
977,4,1,11
985,4,2,5
988,4,2,8
989,4,2,9
990,4,2,10
999,4,3,5
1003,4,3,9
1013,4,4,5
1018,4,4,10
1026,4,5,4
1032,4,5,10
1040,4,6,4
1046,4,6,10
1054,4,7,4
1060,4,7,10
1068,4,8,4
1074,4,8,10
1083,4,9,5
1087,4,9,9
1098,4,10,6
1101,4,10,9
1112,4,11,6
1115,4,11,9
1126,4,12,6
1114,4,11,8
1128,4,12,8
1100,4,10,8
1139,4,13,5
1127,4,12,7
1141,4,13,7
1113,4,11,7
1154,4,14,6
1194,5,0,4
1209,5,1,5
1208,5,1,4
1211,5,1,7
1199,5,0,9
1200,5,0,10
1214,5,1,10
1223,5,2,5
1222,5,2,4
1228,5,2,10
1237,5,3,5
1242,5,3,10
1250,5,4,4
1256,5,4,10
1264,5,5,4
1270,5,5,10
1278,5,6,4
1284,5,6,10
1292,5,7,4
1298,5,7,10
1306,5,8,4
1312,5,8,10
1321,5,9,5
1325,5,9,9
1336,5,10,6
1338,5,10,8
1337,5,10,7
1364,5,12,6
1378,5,13,6
1377,5,13,5
1391,5,14,5
1392,5,14,6
1207,5,1,3
1432,6,0,4
1431,6,0,3
1447,6,1,5
1445,6,1,3
1451,6,1,9
1450,6,1,8
1453,6,1,11
1460,6,2,4
1448,6,1,6
1466,6,2,10
1474,6,3,4
1473,6,3,3
1480,6,3,10
1488,6,4,4
1494,6,4,10
1487,6,4,3
1501,6,5,3
1508,6,5,10
1509,6,5,11
1515,6,6,3
1522,6,6,10
1530,6,7,4
1536,6,7,10
1544,6,8,4
1550,6,8,10
1559,6,9,5
1563,6,9,9
1560,6,9,6
1562,6,9,8
1575,6,10,7
1616,6,13,6
1615,6,13,5
1629,6,14,5
1628,6,14,4
1643,6,15,5
1670,7,0,4
1683,7,1,3
1685,7,1,5
1697,7,2,3
1686,7,1,6
1687,7,1,7
1688,7,1,8
1689,7,1,9
1691,7,1,11
1705,7,2,11
1711,7,3,3
1719,7,3,11
1724,7,4,2
1733,7,4,11
1738,7,5,2
1752,7,6,2
1761,7,6,11
1748,7,5,12
1767,7,7,3
1768,7,7,4
1774,7,7,10
1782,7,8,4
1788,7,8,10
1797,7,9,5
1801,7,9,9
1812,7,10,6
1813,7,10,7
1814,7,10,8
1853,7,13,5
1867,7,14,5
1866,7,14,4
1880,7,15,4
1881,7,15,5
1894,7,16,4
1908,8,0,4
1923,8,1,5
1921,8,1,3
1935,8,2,3
1924,8,1,6
1925,8,1,7
1926,8,1,8
1927,8,1,9
1929,8,1,11
1943,8,2,11
1949,8,3,3
1957,8,3,11
1962,8,4,2
1972,8,4,12
1976,8,5,2
1986,8,5,12
1990,8,6,2
2000,8,6,12
2005,8,7,3
2013,8,7,11
2006,8,7,4
2020,8,8,4
2026,8,8,10
2035,8,9,5
2040,8,9,10
2050,8,10,6
2053,8,10,9
2052,8,10,8
2051,8,10,7
2104,8,14,4
2103,8,14,3
2146,9,0,4
2160,9,1,4
2161,9,1,5
2173,9,2,3
2162,9,1,6
2163,9,1,7
2164,9,1,8
2165,9,1,9
2152,9,0,10
2167,9,1,11
2181,9,2,11
2187,9,3,3
2196,9,3,12
2201,9,4,3
2210,9,4,12
2214,9,5,2
2224,9,5,12
2229,9,6,3
2238,9,6,12
2243,9,7,3
2251,9,7,11
2244,9,7,4
2258,9,8,4
2264,9,8,10
2273,9,9,5
2278,9,9,10
2288,9,10,6
2291,9,10,9
2289,9,10,7
2290,9,10,8
2384,10,0,4
2385,10,0,5
2398,10,1,4
2404,10,1,10
2403,10,1,9
2411,10,2,3
2386,10,0,6
2388,10,0,8
2419,10,2,11
2425,10,3,3
2433,10,3,11
2439,10,4,3
2447,10,4,11
2453,10,5,3
2461,10,5,11
2467,10,6,3
2475,10,6,11
2482,10,7,4
2489,10,7,11
2496,10,8,4
2502,10,8,10
2511,10,9,5
2516,10,9,10
2526,10,10,6
2529,10,10,9
2527,10,10,7
2528,10,10,8
2636,11,1,4
2637,11,1,5
2624,11,0,6
2640,11,1,8
2641,11,1,9
2650,11,2,4
2642,11,1,10
2656,11,2,10
2663,11,3,3
2671,11,3,11
2677,11,4,3
2685,11,4,11
2691,11,5,3
2699,11,5,11
2705,11,6,3
2713,11,6,11
2720,11,7,4
2727,11,7,11
2734,11,8,4
2740,11,8,10
2749,11,9,5
2753,11,9,9
2764,11,10,6
2765,11,10,7
2766,11,10,8
2876,12,1,6
2877,12,1,7
2888,12,2,4
2889,12,2,5
2878,12,1,8
2879,12,1,9
2894,12,2,10
2902,12,3,4
2908,12,3,10
2916,12,4,4
2922,12,4,10
2930,12,5,4
2936,12,5,10
2944,12,6,4
2950,12,6,10
2958,12,7,4
2964,12,7,10
2973,12,8,5
2977,12,8,9
2988,12,9,6
2990,12,9,8
2989,12,9,7
3114,13,1,6
3115,13,1,7
3127,13,2,5
3116,13,1,8
3131,13,2,9
3141,13,3,5
3142,13,3,6
3145,13,3,9
3155,13,4,5
3159,13,4,9
3169,13,5,5
3173,13,5,9
3183,13,6,5
3187,13,6,9
3197,13,7,5
3201,13,7,9
3212,13,8,6
3198,13,7,6
3214,13,8,8
3200,13,7,8
3213,13,8,7
3353,14,1,7
3366,14,2,6
3368,14,2,8
3369,14,2,9
3380,14,3,6
3383,14,3,9
3156,13,4,6
3394,14,4,6
3395,14,4,7
3396,14,4,8
3170,13,5,6
3409,14,5,7
3410,14,5,8
3184,13,6,6
3423,14,6,7
3186,13,6,8
3199,13,7,7
3605,15,2,7
3606,15,2,8
3618,15,3,6
3619,15,3,7
3620,15,3,8
3633,15,4,7
3634,15,4,8
